tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,TARGET
5.41936,6.58759,9.40997,9.56987,2.18607,1.28812,2.46170,2.48128,1.28937,1.39878,1.91440,1.94500,1.16038
1.70912,9.00616,7.54150,2.96794,3.85839,1.21379,1.50554,1.83944,1.33540,1.19709,1.47767,1.30011,1.05839
6.31361,3.57694,7.11626,3.68050,3.90293,2.26030,1.24292,1.01103,1.54707,1.42688,1.53144,1.03846,1.10164
3.45440,7.21583,6.29619,5.54359,3.63445,1.41248,1.60878,1.76146,1.18433,1.58263,1.86360,1.30743,1.13496
9.68851,9.74826,4.40628,8.04692,2.53910,2.05429,1.71833,2.10545,1.45729,1.79761,1.60282,1.93126,1.16106
4.31523,6.36664,7.86072,6.20768,2.66530,1.78188,1.60364,2.36635,1.33077,1.52375,1.17227,1.71821,1.12508
8.38158,10.00761,9.35791,5.31709,2.69469,2.06558,1.97104,1.68587,1.30559,1.56013,1.76745,1.52155,1.14482
3.05422,8.80481,8.26856,6.47145,3.77700,1.89785,1.74065,1.00167,1.69349,1.31685,1.46920,1.41302,1.10640
4.49166,4.72464,10.40153,3.60684,4.32637,1.32494,1.15965,1.60621,1.49364,1.78637,1.57613,1.73838,1.11609
8.93094,5.29330,8.54849,9.47243,3.66325,1.06123,2.41129,1.28141,1.21321,1.94495,1.54685,1.17582,1.12892
5.87716,3.00461,1.56202,4.32061,3.34917,2.38278,1.37600,1.30922,1.84841,1.37639,1.66578,1.90985,1.12508
5.92575,10.03792,3.91102,9.72638,2.93250,2.42027,1.53502,1.52939,1.54394,1.08819,1.81362,1.81919,1.12523
2.23308,7.09024,2.51649,1.93127,1.39842,2.35179,2.44993,2.21703,1.73724,1.39984,1.52104,1.04878,1.05499
8.09143,1.88937,7.78511,6.53056,4.31889,1.19056,1.46331,1.44441,1.39401,1.41951,1.50971,1.12050,1.08235
8.96983,6.08647,2.56038,8.69933,4.26727,1.59143,1.05160,1.50687,1.93680,1.64319,1.59988,1.01543,1.11739
3.14211,8.22274,5.12847,6.13479,3.83073,2.18018,1.36639,1.03988,1.47875,1.59154,1.69677,1.41504,1.12894
1.28500,7.43254,9.73678,9.10201,3.91132,1.66625,1.71855,1.12105,1.92439,1.10690,1.48487,1.88615,1.09136
2.17554,3.37906,2.95405,9.01821,3.60839,1.30081,1.50455,2.00343,1.69632,1.89426,1.39466,1.58255,1.05140
7.32067,4.00634,3.39891,2.60555,3.21747,1.98482,1.53095,1.68392,1.37767,1.51445,1.87375,1.42489,1.09736
3.90503,7.74030,3.16647,4.13607,3.94315,1.41601,1.52510,1.53291,1.30461,1.06156,1.12807,1.36693,1.04751
9.21836,7.84074,5.85181,1.18468,1.39481,2.20279,2.39085,2.42872,1.53285,1.68750,1.66470,1.13357,1.12884
2.87773,2.19113,7.81013,5.92518,4.09848,1.22147,1.39371,1.70350,1.71632,1.90118,1.67543,1.82054,1.12122
4.36428,4.19981,8.33896,1.38192,3.14884,1.17634,1.61059,2.48140,1.84497,1.31869,1.94118,1.82807,1.10109
5.62108,7.03129,3.89169,6.08489,2.82357,2.08712,1.14759,2.35889,1.29132,1.30342,1.34890,1.37823,1.09072
6.35886,10.01607,5.31055,1.17165,2.15194,2.05505,1.77063,2.43956,1.32091,1.00787,1.84354,1.19140,1.07061
7.25030,6.38003,5.39690,9.57092,1.92557,1.55174,2.48092,2.45894,1.83302,1.43012,1.01486,1.01611,1.10661
5.49257,9.90126,5.18676,3.63151,3.04979,2.32103,1.39352,1.65283,1.23409,1.35103,1.10101,1.15196,1.05144
6.34994,4.88981,6.96447,9.48817,2.65459,2.43145,1.46290,1.86824,1.05106,1.08677,1.43058,1.27146,1.07089
7.02069,4.45110,1.20576,2.38064,2.42473,1.61635,2.18632,2.18977,1.59011,1.15637,1.48894,1.40283,1.03799
5.72243,6.52165,2.09952,9.71482,1.80344,2.09506,2.35952,2.15915,1.87997,1.09766,1.61561,1.77377,1.11121
4.55554,8.23449,6.94225,5.37288,3.99824,1.65978,1.50675,1.25240,1.42694,1.00090,1.74488,1.68638,1.12906
4.30280,1.39919,8.88286,9.08621,3.29077,1.73733,2.01563,1.37345,1.62880,1.11655,1.51888,1.33944,1.09286
8.42804,6.21328,9.53551,7.98512,2.34290,2.38695,2.36283,1.32449,1.23516,1.23426,1.81735,1.17979,1.12155
7.86585,2.01053,2.56214,6.03750,1.27531,2.39284,2.28823,2.46079,1.36547,1.50215,1.93271,1.84474,1.09785
7.07636,1.38906,1.47000,4.79167,3.36320,1.95745,1.36135,1.73516,1.87970,1.85807,1.06001,1.02809,1.05212
7.38908,9.74995,5.06848,1.49959,3.07631,1.16740,1.86868,2.30479,1.51470,1.77155,1.44733,1.54259,1.10600
4.94391,10.41630,6.52115,1.79768,3.87638,1.31457,1.38476,1.84146,1.16162,1.66194,1.60422,1.62543,1.08764
8.99345,6.49399,10.37983,6.00162,3.49249,1.35138,1.77615,1.79716,1.06872,1.46781,1.33369,1.45882,1.10311
9.25406,1.05290,1.73791,3.61880,4.28733,1.11085,1.95527,1.06373,1.31859,1.18903,1.53411,1.26210,1.02983
6.93840,9.36753,4.07817,7.20484,3.90787,2.14229,1.10337,1.26363,1.60025,1.23393,1.40917,1.02455,1.08894
9.56454,6.57102,8.40698,2.41819,2.95678,2.02592,2.25347,1.18101,1.25274,1.63934,1.88423,1.40709,1.12957
7.53646,4.28770,9.56994,10.37340,2.34447,1.94425,2.05345,2.07500,1.50503,1.76165,1.35146,1.36161,1.12204
6.30462,3.46731,1.44009,6.28958,2.76559,2.23494,2.27936,1.13728,1.56416,1.21248,1.73563,1.76688,1.09546
7.63304,7.60283,8.37810,9.95747,3.20742,2.07223,2.04184,1.09569,1.71277,1.76409,1.32717,1.38845,1.15407
7.39724,6.72500,1.76317,5.64516,3.79137,2.00312,1.37834,1.24435,1.09327,1.20157,1.17112,1.42791,1.04054
9.83692,4.55046,5.95994,3.46603,1.70434,2.27233,2.34451,2.09599,1.41342,1.55656,1.49099,1.76494,1.11204
9.19938,9.84631,4.61729,5.77530,1.82924,2.14387,2.22912,2.21494,1.91649,1.76554,1.40370,1.38512,1.15116
7.19414,8.04419,9.07263,2.74594,4.01903,1.37166,1.18515,1.84133,1.63077,1.58287,1.34322,1.23542,1.12406
4.48702,4.47600,5.23624,5.50080,3.83006,1.14535,1.55444,1.88733,1.70610,1.73257,1.31310,1.79299,1.16435
4.51797,4.49889,2.52643,1.05809,3.82474,1.35152,1.92557,1.31534,1.56453,1.26134,1.72696,1.14591,1.05247
8.79077,3.70579,1.29374,8.78967,2.64892,2.38615,1.07606,2.30604,1.58671,1.40859,1.69381,1.36448,1.06811
4.87839,6.18533,4.19860,6.36319,3.70410,1.36358,2.01113,1.33837,1.77015,1.02013,1.75601,1.77676,1.14939
8.09405,10.23229,7.41049,3.09703,3.26574,1.23479,2.14061,1.77603,1.33907,1.13888,1.92671,1.42139,1.11752
8.59730,1.25417,2.73554,9.99615,3.44515,2.32622,1.37584,1.26997,1.42856,1.91919,1.39039,1.72555,1.06340
8.28176,8.88682,8.44249,9.40620,3.36285,1.95216,1.66232,1.43983,1.54191,1.83458,1.22858,1.29537,1.14444
3.04406,5.31234,7.02451,1.95290,2.98803,1.48520,2.17282,1.77111,1.12854,1.03467,1.00224,1.60084,1.03582
1.06534,1.92240,8.19040,5.71345,2.60731,2.41308,1.03377,2.36301,1.09884,1.09985,1.67807,1.30421,1.06869
7.52605,9.38537,9.90653,6.66454,4.06171,1.41860,1.77096,1.16591,1.68637,1.71912,1.66820,1.17457,1.15414
6.58895,2.04879,2.77683,8.85673,2.20383,2.12136,2.03291,2.05908,1.88407,1.69465,1.72346,1.65420,1.10905
9.89216,10.42230,4.44812,6.49294,3.12009,1.92006,2.37063,1.00639,1.70059,1.91888,1.82206,1.36641,1.15163
7.63976,9.73194,2.45916,5.07279,4.21659,1.03295,2.08563,1.08201,1.78588,1.93232,1.78138,1.53523,1.13805
4.07152,4.76360,1.91403,5.98764,3.13296,1.46013,2.19482,1.62926,1.34513,1.25653,1.91472,1.88977,1.10541
4.57596,9.20732,6.12610,8.33637,3.50320,1.44783,1.86606,1.60008,1.08269,1.54745,1.29669,1.34528,1.10512
2.47059,8.20826,2.38554,4.85114,2.77481,1.74797,1.46682,2.42757,1.59995,1.18276,1.82555,1.04121,1.04596
2.32552,5.19526,3.07250,9.38261,3.31359,2.04504,1.55957,1.49898,1.41773,1.19649,1.13370,1.57513,1.06119
1.36277,3.80492,7.61188,7.82894,3.83471,2.19780,1.16535,1.21931,1.72990,1.67872,1.13781,1.81991,1.08012
5.19762,10.23393,8.96686,1.44715,3.10143,2.12798,1.65856,1.52920,1.10157,1.77701,1.92788,1.28506,1.12520
6.52593,2.04042,1.02170,5.56487,2.37146,1.33347,2.46125,2.25099,1.71820,1.00277,1.78381,1.51413,1.06404
9.55097,1.88077,4.08233,3.25736,2.17550,2.24909,1.59154,2.40104,1.53579,1.65340,1.65630,1.84497,1.06168
1.50355,8.53779,6.23018,1.30776,3.38990,1.30791,1.28481,2.43456,1.55975,1.85614,1.07241,1.78256,1.04174
4.63833,1.12499,6.75331,10.13517,3.03030,1.64024,1.67897,2.06766,1.74686,1.11850,1.39104,1.58407,1.10091
3.73452,4.34300,7.11419,8.16801,2.87620,1.62676,1.74501,2.16920,1.85023,1.84647,1.03537,1.51687,1.12109
5.57494,6.02674,2.16059,2.58080,2.94958,1.42134,1.58062,2.46563,1.76896,1.25498,1.24574,1.28663,1.07524
2.91851,5.37274,2.54381,8.91779,3.02492,1.45169,2.07184,1.86872,1.35377,1.21559,1.10162,1.31849,1.04598
7.88705,4.84482,9.71578,4.17447,3.35089,1.00728,1.83033,2.22866,1.20152,1.12439,1.12083,1.49734,1.04872
3.64650,10.06555,6.39464,8.77564,3.47838,2.25595,1.04491,1.63793,1.07591,1.88136,1.78182,1.26395,1.13657
8.87198,8.85026,1.32441,10.16382,2.65291,2.16503,1.30623,2.29301,1.08168,1.27410,1.08382,1.50485,1.08330
3.17935,9.81216,9.41883,5.89876,3.28362,1.08535,2.42010,1.62811,1.67579,1.93168,1.45419,1.79379,1.14361
6.59905,1.55949,5.54642,4.44227,2.35881,1.57337,1.99899,2.48600,1.06182,1.12163,1.29575,1.62243,1.04428
2.16418,3.13587,4.22690,4.42196,2.25887,2.21901,2.38753,1.55177,1.38481,1.26918,1.39570,1.04694,1.03744
1.21735,7.87349,10.41462,8.53356,4.24468,1.13634,1.51459,1.52157,1.25406,1.19877,1.09205,1.16856,1.03016
5.21919,8.98987,3.71995,7.83575,2.48281,2.38594,1.94952,1.59890,1.21670,1.81096,1.87145,1.19769,1.11781
8.00047,9.26663,2.37501,7.54423,3.78932,1.34509,1.37127,1.91149,1.34160,1.86388,1.30480,1.39401,1.12389
8.96056,4.85962,5.51888,9.07307,3.27549,2.04198,1.95290,1.14681,1.03866,1.11436,1.66259,1.50514,1.09748
7.81502,3.86998,9.97989,4.85608,4.15657,2.06759,1.00665,1.18637,1.83607,1.65848,1.87008,1.06805,1.14005
2.50265,8.17617,8.06023,4.29444,1.34824,2.27993,2.37371,2.41529,1.58209,1.44713,1.66399,1.85881,1.12341
7.14555,1.53965,5.03787,10.45084,3.71193,2.44417,1.00822,1.25285,1.51451,1.72452,1.73436,1.16158,1.07522
3.55600,8.27366,5.84075,5.49844,3.42396,1.63014,1.75824,1.60483,1.61455,1.25088,1.16734,1.60218,1.09689
7.78868,5.92126,9.93939,4.87826,2.53247,2.11927,1.35336,2.41207,1.19661,1.43116,1.93287,1.50617,1.13391
7.94787,3.59037,7.68053,9.35415,2.64134,1.36433,1.91802,2.49349,1.42273,1.48128,1.43438,1.22713,1.10541
8.69468,1.04620,5.74754,5.56742,3.75843,2.18649,1.20482,1.26743,1.06065,1.91963,1.78408,1.40724,1.06228
4.42080,4.37652,6.44915,8.67395,3.76917,1.26233,1.73377,1.65190,1.78695,1.72387,1.06378,1.66714,1.12865
2.18380,6.86437,7.31617,7.09260,4.01805,1.04787,1.57902,1.77223,1.78657,1.74722,1.35116,1.71809,1.13223
7.96944,1.98988,2.20377,7.07459,2.52432,2.09457,1.73646,2.06182,1.66380,1.53966,1.80597,1.75977,1.09827
9.82050,9.24933,9.27835,5.87818,4.17790,1.81969,1.38337,1.03621,1.76338,1.83258,1.11203,1.46417,1.14863
9.57523,6.23779,7.56488,7.00565,2.48310,2.10996,1.40775,2.41636,1.67925,1.60809,1.52777,1.45386,1.15371
6.70197,7.13554,2.46865,3.28742,2.49609,1.97557,1.92728,2.01824,1.32087,1.81287,1.07825,1.42866,1.10122
3.07761,10.06435,5.93938,10.07730,4.39389,1.80945,1.12384,1.08999,1.55439,1.34070,1.71473,1.47001,1.11155
6.03563,3.65261,8.16700,3.76377,4.28253,1.10796,1.25418,1.77250,1.09988,1.92103,1.53964,1.63401,1.11019
4.40698,5.23820,2.44170,8.62111,3.89911,1.52417,1.16501,1.82888,1.60452,1.42177,1.71973,1.02557,1.07482
6.82188,6.99794,7.93328,4.75109,3.38298,1.42230,2.37351,1.23838,1.32149,1.91524,1.02410,1.60857,1.13264
2.79891,4.80447,7.08273,5.25655,3.35390,1.43748,2.15243,1.47337,1.24570,1.04305,1.46068,1.26340,1.05380
4.32366,6.26874,4.28625,5.71810,2.35997,1.52544,2.11326,2.41850,1.53715,1.36928,1.09577,1.70770,1.11690
9.51336,6.21647,7.11771,9.55782,3.37616,2.13571,1.33433,1.57098,1.35669,1.00495,1.19096,1.80728,1.11832
4.92339,9.07672,7.05277,2.53485,1.82640,1.82270,2.33144,2.43663,1.70623,1.39849,1.02474,1.45440,1.07404
7.12096,5.29592,6.50058,8.60653,2.36169,2.03096,2.16150,1.86302,1.79579,1.46661,1.74410,1.75187,1.17244
1.19793,6.82052,8.62563,8.91370,3.77738,2.41107,1.13782,1.09090,1.38934,1.73511,1.41416,1.54228,1.11621
7.69885,5.26152,4.96645,7.21800,1.76855,2.24054,2.22749,2.18059,1.91444,1.69629,1.68199,1.05415,1.15215
10.41636,10.26890,8.18379,8.50801,2.88726,1.79781,1.99036,1.74175,1.34094,1.66476,1.88136,1.74389,1.16675
9.90961,4.71401,9.50514,5.51033,2.79516,1.82524,2.36965,1.42712,1.65099,1.52283,1.05513,1.18967,1.09782
10.29137,9.32444,10.27264,9.22209,1.65957,2.32222,2.34343,2.09195,1.12968,1.24624,1.68061,1.54759,1.13235
5.42429,7.51420,7.33636,3.99258,3.55269,2.42676,1.38923,1.04849,1.38604,1.76667,1.14483,1.26762,1.11230
2.57366,4.33523,8.62349,5.04820,4.63581,1.64622,1.05913,1.07602,1.94381,1.72905,1.30411,1.04670,1.06739
5.92157,6.53052,9.60543,8.67593,2.84271,1.65921,1.70968,2.20558,1.09519,1.94578,1.72530,1.79241,1.16309
6.68632,6.62044,7.13247,8.44912,2.88329,2.27137,1.23380,2.02871,1.87617,1.52887,1.92311,1.55151,1.18017
5.91804,5.34497,5.67048,8.96269,4.16793,1.06869,1.08763,2.09291,1.43141,1.51147,1.75019,1.32785,1.13784
8.65626,4.29695,6.40822,2.00952,3.77238,1.34098,1.07475,2.22907,1.38157,1.21931,1.49952,1.40237,1.07365
2.13687,1.63952,10.11286,5.44654,2.88677,1.92513,2.17389,1.43138,1.19575,1.34706,1.37326,1.60921,1.05446
7.92738,7.32914,6.73693,2.63644,2.63411,2.10830,2.09188,1.58288,1.57257,1.68008,1.93856,1.29638,1.15411
5.66470,8.89240,8.79168,8.78819,2.35957,2.43869,1.36487,2.25404,1.49698,1.30393,1.29706,1.87779,1.14169
8.16821,8.96905,2.78211,8.34651,4.85190,1.14552,1.01753,1.40221,1.82563,1.74893,1.85821,1.12578,1.13071
5.60962,1.71803,7.10180,5.67748,3.89781,1.35865,1.72462,1.43610,1.87200,1.09947,1.58963,1.50769,1.13683
4.04785,7.28332,8.99243,7.77719,2.42877,1.97288,2.09803,1.91750,1.23350,1.75111,1.92123,1.51482,1.15698
6.08159,3.40089,5.39888,1.56278,2.59895,2.13588,2.40496,1.27738,1.81954,1.33370,1.15243,1.04886,1.07817
5.80283,7.71282,1.38166,5.46209,3.94055,1.67234,1.11292,1.69136,1.21515,1.27659,1.65765,1.56112,1.05929
7.15453,9.55125,7.84489,2.23853,3.36252,1.18926,1.64799,2.21741,1.73377,1.42889,1.48819,1.32446,1.12390
4.96599,9.84234,4.83859,5.85943,3.37822,1.09711,1.77446,2.16739,1.71591,1.87539,1.57281,1.72443,1.15905
9.76377,2.34241,9.01380,3.33174,2.26940,1.35947,2.41330,2.37500,1.37082,1.08048,1.28386,1.40387,1.06412
10.16719,7.37587,3.51845,8.79892,3.11782,2.45105,1.28406,1.56424,1.88175,1.19684,1.58169,1.10711,1.10845
9.28080,1.58363,1.55106,2.08190,2.84002,1.57451,2.09051,1.91214,1.02604,1.19399,1.16650,1.76907,1.03123
4.41954,9.57135,2.26507,1.38723,2.63847,2.37321,2.37401,1.03148,1.32572,1.75349,1.87227,1.37396,1.04679
10.08559,9.33854,5.80439,3.02506,2.41186,1.38263,2.41597,2.20671,1.26239,1.34540,1.25770,1.80927,1.07592
5.01809,1.78095,4.72991,9.01692,3.35679,1.27750,1.80915,1.97374,1.56027,1.17969,1.05532,1.47609,1.06775
2.17464,1.62610,2.86710,9.82848,3.72940,2.37220,1.27810,1.03748,1.80677,1.41783,1.01202,1.42437,1.05308
1.31013,8.63338,1.04879,4.58273,1.86545,1.91031,2.17196,2.46946,1.14545,1.81273,1.75876,1.71272,1.06182
10.49317,6.15740,9.88231,9.89044,2.64585,1.71354,2.08944,1.96834,1.89139,1.22167,1.05312,1.32764,1.12335
1.33686,9.62122,6.55953,2.38556,4.92109,1.13065,1.30467,1.06076,1.10842,1.64679,1.16153,1.66202,1.06313
8.88327,6.14719,6.23302,5.98449,3.25587,2.09710,1.79743,1.26678,1.38337,1.27559,1.33316,1.77533,1.12928
3.09691,6.28266,5.96475,9.14939,2.34321,2.01388,2.06345,1.99663,1.62344,1.88443,1.06757,1.38021,1.11072
9.90246,10.26492,3.51631,8.47916,1.61377,2.45217,2.34052,2.01071,1.63015,1.45209,1.72755,1.59381,1.13370
3.62552,7.64346,6.15172,7.09673,2.83912,1.62427,2.25216,1.70162,1.17201,1.75652,1.36364,1.37737,1.12309
2.78098,5.74496,1.65122,9.73217,3.68230,1.51536,1.75923,1.46028,1.65407,1.28557,1.20285,1.86043,1.08003
5.23753,7.86806,3.23537,10.32851,3.04761,1.82845,1.09408,2.44703,1.30815,1.18712,1.80145,1.41364,1.07722
3.18244,3.94468,2.21006,1.11171,2.97475,2.18238,1.16988,2.09016,1.08545,1.21822,1.70259,1.83430,1.02736
9.04094,6.19837,5.34912,1.20461,2.16981,2.41382,2.46773,1.36581,1.38000,1.78839,1.92341,1.04318,1.13570
10.43665,1.21815,6.09848,6.82595,3.36474,1.53891,1.75696,1.75656,1.51422,1.43209,1.56550,1.72204,1.11013
5.92804,3.48700,4.80995,4.22231,3.23751,1.82287,2.15211,1.20468,1.48290,1.62954,1.78331,1.22741,1.13099
5.81918,6.02025,10.30426,9.39968,3.27776,1.35822,1.96293,1.81827,1.67755,1.85118,1.81932,1.31179,1.15748
5.64776,10.15277,1.09350,3.06858,2.25418,1.73263,2.31744,2.11292,1.66876,1.60572,1.50843,1.29616,1.06725
7.51900,4.86695,5.58506,6.51986,4.64122,1.21841,1.37298,1.18456,1.40487,1.11310,1.43727,1.93790,1.13741
3.53205,3.03890,4.38558,9.81866,2.35974,2.30196,1.81448,1.94100,1.20716,1.05548,1.44090,1.57418,1.06793
7.19648,1.31085,6.85898,7.27221,2.45470,2.31594,2.11417,1.53237,1.21879,1.17622,1.09076,1.04501,1.04248
5.70455,1.37309,4.77227,9.56461,4.01656,1.49472,1.26470,1.64120,1.02480,1.93953,1.80707,1.38932,1.06365
1.16182,7.97570,1.80068,8.21466,3.11983,2.40960,1.16513,1.72261,1.79142,1.56822,1.19929,1.01467,1.02201
5.41316,8.57737,5.66030,6.67361,3.05940,1.93791,1.26973,2.15013,1.30325,1.26328,1.48456,1.31483,1.10332
2.37516,2.83916,4.97923,1.22193,3.27954,2.35358,1.04034,1.74371,1.73219,1.58833,1.40652,1.44206,1.06374
1.81591,7.75808,4.54825,1.86264,3.51107,1.71265,1.54940,1.64405,1.50499,1.80341,1.93175,1.47424,1.09718
4.51113,3.78782,3.37660,3.19123,3.87068,1.58432,1.61326,1.34891,1.79425,1.16787,1.84429,1.41708,1.12556
7.84013,9.30539,3.07490,2.05628,3.94900,1.33941,1.05612,2.07264,1.65517,1.79049,1.05320,1.53282,1.10739
9.23987,5.56673,1.49091,8.10855,2.19245,1.69560,2.34397,2.18516,1.71919,1.66085,1.34775,1.20943,1.10533
4.88491,2.18043,5.23612,7.87945,2.48049,2.16790,1.29285,2.47593,1.44825,1.65010,1.79220,1.78032,1.13354
9.39432,5.40027,6.70808,4.95079,4.39828,1.48097,1.27189,1.26603,1.72780,1.88549,1.37671,1.84452,1.16385
2.10525,6.80699,7.48286,7.52127,2.93664,2.17078,1.97024,1.33951,1.70861,1.85552,1.06769,1.64840,1.11709
9.85142,1.96488,1.11269,9.34982,2.01179,1.64527,2.40760,2.35250,1.73947,1.59295,1.18231,1.06673,1.05428
5.45934,5.69399,6.32922,10.02114,3.75639,1.10341,1.72566,1.83172,1.03791,1.11896,1.30423,1.03999,1.02927
5.63275,7.90301,8.87544,10.33291,3.24994,2.24803,1.85302,1.06618,1.34313,1.58003,1.12035,1.79221,1.13379
6.90176,8.08462,6.96034,7.42061,3.91003,1.10752,1.26514,2.13449,1.27403,1.79235,1.83541,1.09454,1.14715
2.03522,9.70550,8.94242,5.41593,3.09143,1.42402,2.46791,1.43380,1.44761,1.78920,1.79377,1.44520,1.13032
5.85214,5.35160,4.14205,4.01296,3.75242,1.41930,1.27135,1.97410,1.80831,1.55539,1.71467,1.19929,1.14752
6.57632,2.01178,5.53715,6.25954,2.04902,1.82155,2.47951,2.06709,1.41520,1.04877,1.49978,1.62666,1.11422
3.39844,4.90517,3.57911,5.56410,2.86501,1.97686,2.05839,1.51690,1.19475,1.21499,1.32790,1.70899,1.08443
2.13347,5.80449,8.56522,1.42697,3.31426,1.38873,1.50699,2.20719,1.61641,1.91891,1.16839,1.77334,1.05396
8.12582,5.90482,5.22672,9.22971,3.17223,2.12458,1.69036,1.43000,1.18507,1.68882,1.17530,1.00599,1.07873
5.98920,8.82293,1.34486,6.28759,4.54969,1.36662,1.28793,1.21294,1.05596,1.36087,1.52317,1.04255,1.02999
5.12895,8.85347,8.61852,9.10037,2.37835,1.57556,2.10926,2.35400,1.33326,1.19165,1.55905,1.70611,1.13314
3.87674,1.49154,5.43112,5.96424,3.62906,1.38201,1.57329,1.83281,1.61058,1.68780,1.62864,1.35734,1.09673
1.23081,5.06585,2.95120,7.64379,3.45817,1.22856,1.71691,2.01353,1.38230,1.06523,1.18192,1.47019,1.05164
8.94555,2.65213,4.60187,6.31581,4.04370,1.43151,1.05534,1.88662,1.35292,1.86138,1.73252,1.12238,1.08249
2.16967,9.82589,8.86827,1.74220,4.02958,1.45566,1.28456,1.64737,1.53323,1.54401,1.18320,1.88872,1.04985
6.39775,1.15939,6.72301,4.34736,3.94365,1.14761,1.45744,1.86848,1.88722,1.11767,1.88396,1.01762,1.12744
6.01112,7.73835,7.60395,5.56069,3.53059,1.02127,1.73484,2.13047,1.58125,1.00893,1.82776,1.23125,1.12564
10.40643,10.40217,1.11520,1.52647,3.01728,2.09388,1.33164,1.97437,1.40997,1.62322,1.03074,1.39002,1.08204
2.22604,1.98876,1.45716,8.47862,4.61294,1.52715,1.17513,1.10195,1.71285,1.50896,1.51777,1.06189,1.01023
8.35829,5.89141,2.04154,4.94134,3.27873,2.45779,1.12494,1.55571,1.87484,1.70918,1.24071,1.14667,1.12084
9.83916,5.10435,5.21128,1.56865,2.27834,2.49865,2.18407,1.45611,1.38693,1.27865,1.05254,1.76778,1.04545
5.15143,9.59431,2.30065,1.12040,4.03972,1.09805,1.93038,1.34902,1.52504,1.06208,1.68158,1.21119,1.05410
8.29655,6.88570,5.60284,1.08240,4.21795,1.01913,2.14194,1.03815,1.51756,1.63025,1.88325,1.37161,1.12842
8.00835,6.01873,2.69455,10.08561,3.78068,1.57302,1.71272,1.35076,1.17522,1.94545,1.47160,1.17666,1.09817
4.20875,3.67268,7.96692,1.41036,3.30105,1.82202,2.12485,1.16925,1.06822,1.62144,1.16126,1.59619,1.02968
1.66525,8.79941,7.05961,2.86196,3.37260,1.60198,1.61540,1.82720,1.16295,1.54616,1.85659,1.05940,1.10653
6.21958,8.52906,7.32013,4.06840,4.37756,1.52147,1.25466,1.26347,1.03675,1.56916,1.18334,1.60388,1.09283
3.47224,9.74007,3.96971,3.76696,3.71623,1.13557,1.64253,1.92284,1.30577,1.19121,1.28992,1.13723,1.03911
1.20357,7.29707,4.46947,3.06164,3.62002,1.68411,1.63199,1.48105,1.09630,1.16367,1.88342,1.44674,1.06535
4.93864,3.30849,2.48391,7.30441,3.44683,1.04352,2.45154,1.47527,1.64968,1.58883,1.03095,1.11312,1.06332
6.18781,1.35089,3.32847,4.50591,3.89710,1.28462,1.08215,2.15330,1.79438,1.78772,1.76679,1.10376,1.07896
3.97633,5.43085,7.48535,1.59506,4.32719,1.17596,1.55649,1.35753,1.66136,1.04176,1.87690,1.59590,1.08946
6.60034,10.33253,6.84561,4.40925,3.40057,1.52264,1.37902,2.11494,1.73814,1.18013,1.56078,1.38950,1.12839
2.18465,8.15940,5.54778,2.24445,4.40244,1.06762,1.25708,1.69004,1.72214,1.22744,1.70812,1.33583,1.06053
5.76148,4.41912,9.23124,9.68397,2.37326,2.32353,2.11812,1.60226,1.02247,1.08087,1.58415,1.81996,1.12249
2.28758,6.68985,8.60440,9.88840,3.10770,1.74016,1.80444,1.76487,1.94884,1.08728,1.22357,1.72953,1.07790
6.15971,4.39437,7.15332,7.80209,3.51841,1.09003,2.47500,1.33373,1.92176,1.17130,1.34317,1.64379,1.14582
4.51521,9.00099,5.84459,7.44297,2.37040,2.46390,1.62413,1.95875,1.61237,1.25030,1.20172,1.50995,1.10859
6.11279,2.60813,7.85637,2.14137,3.78125,1.38917,1.22214,2.02462,1.16891,1.18845,1.30468,1.17615,1.03843
3.13762,5.69626,10.17245,5.14876,3.37942,1.34718,2.31451,1.37606,1.88948,1.87808,1.04722,1.68088,1.13958
4.48309,1.86587,6.25958,2.08371,2.18832,2.06490,2.44168,1.72227,1.24123,1.14714,1.06181,1.26589,1.02302
2.04534,3.25053,1.04390,4.64758,3.09148,1.24690,2.19502,1.88377,1.56760,1.79120,1.20512,1.66766,1.07755
8.64259,3.63417,8.23716,7.36589,1.62265,2.48950,2.08390,2.22113,1.82688,1.20191,1.53781,1.64009,1.14890
6.31962,9.63245,2.83030,8.82835,2.65627,2.37109,1.73428,1.65553,1.45893,1.82189,1.45686,1.17056,1.11369
5.00531,1.90229,2.06861,3.76111,2.21156,1.50796,2.35330,2.34435,1.72876,1.16731,1.54666,1.05576,1.06301
4.43900,10.46777,5.35533,4.12777,3.12508,1.59052,1.48189,2.21969,1.50618,1.80406,1.38125,1.63347,1.11601
8.02368,5.08288,10.09450,9.93015,3.23942,1.69190,2.12456,1.36129,1.23503,1.06540,1.53585,1.71535,1.12650
7.28063,7.08431,9.89559,3.29491,3.70305,1.75865,1.04929,1.90619,1.92070,1.54556,1.45253,1.09862,1.14010
10.47132,6.66817,9.22464,8.85916,3.14915,1.50381,1.96486,1.79936,1.35797,1.16193,1.04690,1.75379,1.11554
1.29663,4.57066,5.53018,1.32626,2.36837,1.58320,2.13549,2.33011,1.89445,1.78428,1.20743,1.35528,1.04242
