AT,V,AP,RH,TARGET
15.24,48.6,1007.08,86.49,459.85
28.05,70.36,1006.73,64.42,434.06
29.1,70.4,1003.97,77.57,430.98
17.48,46.21,1014.02,80.78,455.35
24.01,63.56,1014.19,64.31,444.1
13.86,35.71,1015.21,63.16,471.63
20.78,58.86,1016.02,77.29,446.2
20.82,57.76,1019.15,72.46,454.62
31.07,70.32,1011.74,65.91,436.16
24.7,44.57,1008.24,57.62,444.65
11.17,40.27,1009.54,74.56,476.18
29.13,47.93,1002.5,49.1,435.61
6.54,39.33,1011.54,93.69,491.16
31.77,76.09,1007.4,73.36,431.69
21.75,65.12,1015.53,66,452.89
26.43,77.17,1008.67,92.59,431.26
26.26,73.06,1009.35,91.65,435.41
9.01,38.56,1016.67,63.61,482.37
25.67,74.78,1010.24,68.87,440.48
29.17,73.17,1009.87,60.97,432.07
29.05,70.32,1011.33,72.5,437.16
13.85,41.39,1018.62,75.55,471.45
12.24,40.66,1017.4,96.22,464.7
18.99,56.65,1020.46,77.16,457.55
31.8,69.05,1000.77,49.82,426.5
5.97,40.35,1012.3,94.1,489.03
12.38,45.51,1016.15,81.37,470.46
13.17,38.52,1018.5,83.77,468.82
15.69,37.87,1021.18,84.38,465.41
30.75,71.25,1000.07,65.47,431.93
9.47,41.4,1026.49,87.9,479.68
29.56,73.88,1005.77,66.45,436.6
13.97,41.16,1020.88,74.88,459.84
7.61,38.06,1021.16,83.22,484.14
8.65,40.56,1023.23,78.85,485.87
28.93,72.99,1007.23,64.41,434.45
29.45,74.16,1010.49,64.87,438.11
12.61,43.22,1013.41,78.94,466.85
10.94,40.81,1026.03,80.79,476.32
7.68,38.06,1020.92,83.87,483.8
4.99,41.03,1022.33,83.11,493.16
17.86,45,1023.25,53.48,465.78
25.37,68.31,1011.12,70.99,441.76
16.94,50.59,1018.75,94.22,460.64
20.48,60.29,1017.16,72.1,455.51
24.02,64.63,1020.49,55.17,449.66
21.04,50.32,1008.41,90.19,446.33
11.22,40.22,1011.01,81.67,476.7
23.35,47.01,1015.03,73.9,456.3
28.9,71.25,1000.73,77.24,431.52
23.95,66.48,1003.55,73.68,431.87
20.6,60.08,1017.84,75.92,454.39
11.86,39.85,1013,66.92,478.29
30.66,70.98,1007.6,72.08,435.66
16.02,44.9,1009.3,82.62,455.48
11.57,41.54,1020.13,69.14,476.89
25.21,59.21,1017.37,55.06,445.33
28.56,69.51,1012.45,46.59,434.35
23.25,71.29,1008.05,71.36,442.21
25.61,74.22,1010.26,75.15,438.45
14.72,38.91,1015.17,61.75,468.87
16.83,46.48,1007.21,87.23,455.64
14.18,53.82,1016.9,64.57,465.25
19.24,58.33,1013.65,85.47,449.26
6.62,42.49,1008.74,94.57,482.74
12.15,45.01,1018.89,90.02,468.07
28.88,66.56,1006.26,59.15,426.66
13.5,44.92,1023.87,87.17,468.85
22.66,61.27,1019.29,55.43,448.68
18.13,66.86,1012.9,78.84,454.85
15.89,43.96,1014.02,75.24,467.35
26.96,72.58,1009.23,89.62,429.03
17.66,62.1,1019.49,86.3,452.03
28.69,67.79,1011.01,66.4,439.87
6.05,38.68,1017.46,66.13,483.5
13.83,39.64,1012.52,69.97,472.95
24.96,60.84,1018.13,59.51,442.36
31.88,70.36,1006.2,57.51,438.42
19.35,50.12,1005.43,100.1,447.43
27.26,63.77,1014.07,66.58,436.01
26.03,64.44,1012.75,62.24,445.89
21.97,58.12,1015.29,77.47,449.6
27.86,65.18,1012.87,55.53,436.26
17.13,43.79,1016.09,58.94,465.3
21.23,50.59,1017.42,69.26,453.95
14.08,40.1,1015.48,82.81,469.33
9.68,40.22,1007.6,89.97,479.56
11.95,41.48,1013.44,74.83,465.41
8.6,36.66,1026.4,81.23,481.86
24.4,62.26,1011.62,70.1,439.06
23.56,66.49,1012.21,53.86,441.92
14.03,41.79,1008.07,83.32,457.98
4.56,40.27,1011.13,80.24,493.87
9.16,41.03,1021.3,76.08,484.96
6.8,37.8,1021.09,70.02,485.96
29.77,69.48,1009.8,52.6,432.69
14.67,71.14,1019.84,77.72,458.8
25.51,64.27,1013.28,61.85,444.76
29.34,71.98,1005.19,75.19,428.24
24.49,59.87,1018.4,59.95,444.54
19.92,48.98,1014.32,64.99,455.57
17.26,49.78,1007.38,100.06,453.54
13.78,39.85,1012.7,71.99,474.9
23.21,58.49,1010.97,74.34,448.09
12.23,43.69,1016.46,84.4,471.62
13.63,43.22,1012.71,72.85,464.62
13.48,41.44,1015.64,71.46,471.39
7.63,40.56,1023.13,81.01,486.7
23.16,57.76,1017.74,63.79,451.79
13.42,40.35,1011.2,77,472.57
27.2,77.95,1009.48,78.53,433.39
11.02,40.71,1020.3,86.64,469.31
18.88,40.79,1004.98,92.65,459.06
15.12,43.79,1016.37,75.62,470.11
30.36,71.8,1010.9,63.27,437.4
26.65,58.41,1013.53,65.83,442.66
20.19,62.26,1011.37,89.69,443.58
26.77,64.45,1013.26,44.56,449.1
13.43,43.56,1013.02,66.36,472.94
21.28,70.32,1011.55,88.05,438.7
6.64,39.04,1018.84,74.94,481.53
27.19,62.91,1011.57,53.66,444.8
17.44,44.88,1018.05,68.35,465.72
11.6,40.96,1023.95,86.83,473.66
26.95,70.8,1009.73,82.95,436.8
33.2,73.88,1005.67,48.48,438.12
9.47,36.54,1007.93,77.65,475.48
28.86,73.18,1012.46,68.8,427.01
11.86,40.27,1008.06,72.91,474.57
26.08,70.32,1012.32,89,434.24
29.97,69.14,1007.92,66.74,433.82
24.66,60.29,1018,59.56,445.26
27.51,63.73,1009.97,66.14,440.81
22.07,69.94,1011.18,80.86,440.09
19.92,63.31,1015.02,82.71,443.54
7.69,36.24,1013.08,88.37,482.46
22.8,69.23,1011.8,76.95,439.3
28.37,71.64,1007.39,71.06,434.91
28.18,71.85,1008.78,82.88,427.83
14.13,40.75,1016.05,72.41,471.44
31.14,67.32,1013.93,38.37,436.64
31.04,68.31,1010.54,42.74,441.56
20.06,56.53,1020.38,75.16,455.99
16.05,65.46,1013.92,87.99,456.94
30.09,69.48,1009.51,53.24,435.2
19.16,43.43,1012.36,72.59,451
8.05,40.8,1028.01,89.56,483.43
14.8,42.77,1019.14,76.53,462.29
28.12,58.33,1013.61,39.67,448.72
18.74,45.09,1014.24,41.54,456.25
14.59,35.71,1015.19,54.13,469.32
18.53,39.72,1001.26,64.08,457.26
19.15,57.76,1019.62,74.89,458.66
26.73,68.84,1010.75,66.83,440.45
25.5,59.27,1012.92,68.88,442.65
23.34,59.44,1012.67,80.76,445.24
14.59,42.44,1012.7,83.92,470.86
28.57,65.27,1013.27,51.11,440.51
27.27,67.9,1006.36,62.12,436.64
16,42.86,1013.88,81.74,467.5
17.46,39.99,1008.52,69.73,461.01
24.96,65.18,1012.68,76.19,436.24
31.42,69.13,1009.34,57.16,425.98
15.66,43.99,1021.18,88.62,467.57
29.56,51.43,1005.87,59.22,437.93
24.49,65.59,1011.52,85.12,441.8
27.13,69.45,1013.9,51.16,434.47
10.31,39.82,1012.87,88.71,480.61
11.49,39.22,1016.35,53.11,471.47
15.48,47.83,1004.88,81.68,463.67
15.33,36.71,1013.99,73.89,468.36
26.08,57.32,1012.2,47.06,441.32
16.86,39.63,1004.47,83.5,466.68
34.18,67.9,1005.87,30.34,425.5
14.39,40.35,1011.33,64.86,472.43
11.95,42.07,1018.52,84.73,467.91
29.45,75.6,1018.12,50.68,437.31
23.61,49.16,1002.39,65.63,443.5
31.94,74.99,1002.05,34.12,440.17
22.39,59.04,1011.78,86.39,445.52
11.97,41.04,1026.42,70.75,468.81
26.96,62.39,1008.14,73.95,437.41
18.33,49.64,1025.36,62.57,468.14
32.96,68.31,1010.39,42.33,443.57
26.86,71.14,1007.11,76.61,426.97
31.61,69.04,1008.11,47.96,439.19
15.71,39.3,1019.2,62.28,462.84
28.32,71.64,1004.73,72.71,436.31
25.59,61.08,1013.19,77.28,443.91
22.82,69.94,1004.65,73.47,437.32
26.19,49.3,1003.69,65.88,440.13
17.48,58.95,1016.49,90.35,449.26
28.5,64.84,1011.47,54.41,441.74
14.91,39.28,1014.57,75.23,469.34
16.73,65.94,1013.79,90.19,453.39
15.44,39.54,1007.49,82.14,469.28
18.9,57.5,1016.21,93.9,451.42
23.28,69.51,1013.31,53,444.17
12.93,45.51,1015.27,87.27,469.83
12.49,41.62,1011.37,82.68,461.35
27.2,49.16,1005.33,46.73,440.57
24.92,63.94,1017.7,44.92,441.07
22.72,63.73,1012.63,82.14,448.56
19.41,46.63,1013.23,86.28,452.6
13.35,39.58,1012.41,83.45,465.85
27.5,59.54,1004.88,72.7,438.81
14.17,39.59,1010.99,94.08,464.17
14.5,40.66,1016.81,82.93,463.53
21.19,67.71,1006.65,56.28,441.71
16.69,46.18,1011,97.85,458.57
22.55,69.84,1006.57,76.29,438.54
23.75,67.9,1006.25,70.17,445.22
25.18,65.06,1013.64,55.77,440.27
9.34,40.77,1012.14,90.81,477.36
23.09,60.95,1015.02,68.78,450.31
23.86,45.87,1007.71,48.73,446.67
29.37,74.78,1009.47,55.65,434.2
27.35,61.47,1008.43,70.65,443.67
15.25,46.36,1019.69,95.83,461.68
17.51,39.54,1010.22,71.53,462.12
28.24,71.58,1010.1,67.92,434.01
9.55,43.99,1020.5,97.28,476.06
15.45,45,1023.63,70.74,469.54
25.17,72.39,1001.69,90.51,432.45
31.11,71.8,1010.81,56.08,437.2
23.57,66.75,1018.06,80.19,439.71
20.36,57.5,1014.36,82.96,452.28
19.12,50.16,1011.52,99.71,451.49
28.07,68.08,1013.13,44.67,437.65
26.2,71.73,1010.14,76.14,430.89
5.24,38.68,1018.03,78.65,486.67
20.41,48.06,1012.62,76.21,451.26
15.29,41.35,1006.32,82.56,466.27
23.42,63.07,1011.72,75.81,444.23
30.04,67.25,1017.65,52.84,435.17
28.83,66.44,1008.47,77.49,430.01
26.78,73.06,1007.99,90.47,433.25
9.93,39.04,1023.78,77.08,480.54
10.72,41.17,1019.68,60.71,479.21
17.12,68.28,1003.56,94.29,449.94
32.26,73.68,1014.75,60.9,426.48
17.68,39.08,1002.77,74.24,454.18
19.37,63.09,1018.79,81.52,450.18
20.32,44.6,1015.16,36.35,460.21
28.44,69.4,1003.98,73.51,433.44
7.9,40,1018.74,79.55,474.5
30.8,69.14,1007.68,63.78,433.62
31.03,69.98,1011.33,52.16,436.13
11.65,41.54,1020.09,67.96,476.4
13.65,44.6,1017.99,87.04,466.06
18.99,44.6,1014.7,40.11,463.48
9.7,37.14,1012.79,75.2,475.77
18.32,66.86,1012.02,70,454.46
19.94,56.53,1020.48,76.43,453.8
22.8,73.17,1011.87,91.57,437.98
16.9,44.88,1018.14,72.21,466.8
23.6,57.17,1009.84,74.27,446.05
13.62,40.2,1014.2,85.05,465.74
30.97,69.13,1009.78,58.92,435.6
21.93,62.91,1013.45,74.62,449.17
24.16,60.29,1018.09,63.49,446.17
25.82,66.49,1013.2,60.32,434.35
14.89,35.71,1015.1,55.11,469.37
14.65,39.28,1014.04,77.98,470.41
7.19,38.91,1016.53,88.61,486.05
9.31,43.56,1015.09,79.96,482.55
13.07,40.83,1010,84.84,471.19
14.84,41.48,1017.26,63.42,460.3
15.46,37.64,1014.57,87.53,462.96
14.67,42.28,1007.21,65.17,469.02
12.53,42.03,1017.57,81.57,469.18
10.03,40.96,1024.57,91.1,478.79
22.06,59.39,1015.26,85.04,441.31
13.9,39.59,1011.84,94.74,465
12.21,40.64,1020.31,83.84,464.03
12.31,41.06,1021.19,74.38,475.76
8.62,39.66,1015.18,89.59,482.99
26.2,72.24,1011.3,78.29,432.65
31.68,74.16,1011.3,55.94,434.61
26.06,67.83,1009.26,66.37,432.28
10.15,41.62,1015.86,97.4,463.89
13.78,38.28,1014.8,81.19,467.43
23.37,63.77,1013.42,76.44,443.86
19.55,42.04,1009.99,67.87,466.4
15,50.88,1014.04,100.12,459.37
24.8,50.23,1016.62,63.13,453.56
22.52,66.48,1003.87,78.29,435.02
31.75,74.99,1003.25,53.33,430.82
25,69.71,1009.23,80.92,438.38
10.71,39.61,1018.72,73.66,473.77
21.47,58.79,1017,76.97,446.33
24.24,71.58,1010.15,91.14,437.75
15.71,40.12,1012.81,97.46,462.6
29.79,77.17,1009.68,64,432.84
16.69,43.52,1021.78,80.87,460.51
30.2,71.8,1011.13,60.66,436.94
5.95,35.57,1025.84,77.61,487.72
20.61,48.78,1020.8,85.05,449.38
25.72,72.39,1003.01,86.38,432.77
23.38,48.6,1004.45,69.19,440.9
8.6,40.77,1011.8,89.45,480.82
26.48,51.43,1006.76,74.3,438.1
21.39,51.3,1013.39,89.05,452.7
33.43,69.88,1006.86,44.84,435.59
5.85,41.55,1001.95,99.41,484.47
30.2,56.9,1006.89,42.69,436.17
17.92,50.66,1012.62,93,456.84
15.29,25.88,1009.21,66,464.25
10.13,39.18,1024.09,85.48,479.42
10.23,41.46,1018.89,83.06,479.48
13.07,38.47,1015.16,57.26,468.9
25.38,72.24,1010.76,89.64,432.3
3.38,39.64,1011,81.22,488.92
27.3,56.85,1011.66,36.09,440.01
18.61,47.83,1006.43,78.89,454.21
7.25,41.14,1024.99,95.85,477.45
11.34,43.67,1011.54,87.95,472.77
28.42,73.4,1011.39,62.72,438.25
31.18,69.04,1008.19,49.72,441.26
7.32,39.42,1026.15,76.51,476.12
25.3,70.98,1007.22,95.1,440.86
22.52,67.32,1011.4,66.2,443.49
18.4,40.79,1006.18,92.36,461.29
24.11,68.63,1014.34,45.28,448.45
7.87,41.17,1020.33,77.77,486.2
26.8,49.3,1003.86,62.75,438.56
16.53,46.18,1010.2,95.42,458.67
14.79,39.54,1007.25,82.54,469.23
23.7,70.32,1007.21,66.85,439.59
19.59,59.87,1018.28,84.83,449.74
16.71,42.99,1007.72,75.35,465.09
30.91,70.32,1011.92,65.59,433.71
32.66,73.68,1014.64,40.88,425.17
17.31,58.49,1011.8,92.77,456.84
26.34,69.04,1009.44,72.06,444.13
24.75,63.57,1010.47,84.24,445.3
25.46,70.32,1010.65,64.7,433.08
6.13,40.64,1020.69,94.57,481.13
20.42,60.77,1017.65,87.07,447.85
25.64,63.87,1017.14,49.25,444.34
28.11,70.98,1007.76,85.6,431.83
21.11,65.94,1009.83,71.91,448.77
14.97,43.67,1011.13,87.33,465.54
29.25,71.94,1007.18,63.62,427.49
16.76,43.67,1011.27,70.55,462.44
25.48,65.12,1016.12,53.66,447.85
22.85,60.08,1018.05,67.12,452.5
13.36,39.64,1010.3,93.26,471.89
23.63,65.59,1013.1,76.95,440.56
6.57,39.37,1020.2,77.37,487.94
15.94,41.76,1023.32,67.17,462.44
20.19,58.86,1014.3,71.64,450.67
27.19,71.32,1008.97,88.43,437.92
24.32,59.14,1017.46,80.14,438.08
11.95,40.69,1015.62,85.34,475.4
11.01,40.05,1015.46,89.22,474.2
18.22,39.63,1005.11,79,465.78
17.55,48.78,1016.81,91.27,455.11
7.77,35.77,1016.53,73.79,479.68
16.71,40.55,1004.45,81.64,464.13
9.59,37.14,1013.8,72.85,474.74
31.56,66.44,1008.91,64.16,430.11
15.98,41.48,1017,55.73,456.31
27.58,71.97,1008.51,87.99,430.53
29.85,61.85,1005.45,61.85,436.46
26.98,70.94,1007.99,68.16,434.73
22.7,63.56,1014.32,71.76,445
13.7,42.86,1030.68,79.77,470.28
14.33,43.41,1015.43,55.4,462.94
29.23,66.51,1011.11,53.12,439.61
15.98,42.99,1008.24,83.78,467.42
22.67,62.52,1016.47,65.63,449.34
7.19,41.39,1018.12,90.76,486.35
8.26,39.42,1025.89,70.53,474.72
13.97,39.16,1016.05,84.6,470.96
7.44,41.04,1021.84,88.56,479.08
9.11,40.64,1020.68,86.91,476.62
22.83,70.79,1006.36,92.07,438
14.35,40.71,1023.09,69.5,473.56
4.81,42.85,1013.96,86.94,479.8
27.77,63.9,1013.62,51.43,441.3
34.3,74.67,1015.98,25.89,427.84
24.8,65.48,1018.56,62.05,442.02
24.91,58.69,1008.22,82.81,435.96
8.29,36.08,1020.38,81.53,483.26
25.18,47.93,1002.92,60.33,441.29
18.25,43.14,1011.51,55.16,462.78
25.13,57.69,1007.43,78.43,437.8
27.96,49.16,1004.8,35.64,442.49
29.42,69.14,1007.32,75.04,437.75
20.98,43.77,1010.67,62.73,449.88
3.51,35.47,1017.53,86.56,489.07
17.69,46.36,1019.55,86.64,462.81
31.45,68.27,1007.56,64.79,430.81
22.96,70.79,1005.68,93.93,434.47
26.45,69.13,1001.53,89.64,427.5
27.25,73.03,1014.15,68.52,439.78
21.38,58.33,1013.05,72.75,446.8
11.22,41.66,1008.96,72.38,477.53
22.01,58.46,1016.26,75.99,443.75
15.11,45.01,1014.35,65.03,460.91
14.92,41.16,1004.83,83.7,465.72
25.63,56.85,1012.68,49.7,439.2
15.98,44.68,1018.48,85.94,462.77
11.95,42.03,1017.58,90.89,465.2
23.77,59.21,1011.97,80.08,440.08
16.73,43.79,1016.25,73.58,468.87
20.59,42.04,1009.78,62.77,463.08
14.8,44.92,1024.06,91.67,464.01
21.62,58.59,1012.93,67.05,445.92
16.14,54.3,1017.93,65.68,460.73
15.49,42.07,1018.01,78.07,460.32
11.52,40.8,1024.31,73.49,479.56
25.76,74.87,1010.18,65.15,443.7
10.9,41.46,1016.66,86.2,479.45
31.98,70.17,999.43,59.42,430.92
13.04,41.04,1026.27,69.75,464.91
28.53,76.86,999.08,75.77,431.64
29.52,75.33,1002.62,70.64,433.39
21.75,58.79,1012.42,87.58,447.58
30.99,69.82,1009.41,50.84,437.46
30.14,67.69,1006.54,57.05,426.91
25.06,78.92,1010.74,90.7,434.55
30.18,65.74,1012.63,47.74,441.65
7.74,39.96,1025.78,95.81,475.23
10.22,39.16,1015.71,96.2,478.45
28.68,70.32,1008.51,45.73,430.48
26.48,68.14,1004.83,55.96,432.19
11.63,40.55,1022.89,87.12,474.67
25.51,67.69,1004.53,80.03,433.02
19.66,45.01,1014.42,60.14,453.45
13.47,43.34,1012.75,87.04,468.8
20.95,70.72,1009.96,87.73,445.66
11.87,41.58,1017.29,90.3,464.77
31.86,69.59,1008.61,59.74,435.72
23.83,64.15,1020.93,63.86,447.95
19.3,44.9,1008.89,70.55,452.75
21.01,51.19,1008.44,81.49,446.2
27.9,63.13,1011.8,70.04,439.76
10.34,37.5,1010.35,95.56,474.08
29.98,67.22,1014.22,52.69,445.3
17.08,38.58,1015.41,73.42,461.49
13.65,39.28,1012.97,79.64,471.91
25.92,50.16,1003.95,71.3,440.98
21.08,44.05,1008.13,72.52,449.6
17.3,47.45,1010.29,87.13,448.79
18.4,50.16,1011.51,98.07,453.78
25.47,59.92,1010.08,77.18,439.84
15.74,43.34,1013.38,81.45,463.24
26.78,66.54,1010.14,49.01,440
23.64,71.25,1004.92,93.87,442.26
13.85,45.08,1024.86,83.85,468.35
30.64,74.87,1009.44,59.01,437.43
24.42,64.79,1016.12,69.32,449.1
22.19,60.37,1008.45,92.43,440.75
6.79,39.37,1019.79,72.39,487.3
13.09,43.02,1013.17,46.73,470.14
15.43,39.16,1016.44,79.8,470.74
4.97,38.91,1018.99,89.86,489.96
30.51,70.94,1007.64,59.42,430.91
25.54,61.08,1013.77,69.64,448.57
23.54,65.27,1013.78,64.28,445.19
17.8,62.26,1011.81,89.81,451.62
5.64,40.62,1015.76,85.98,483.17
18.97,43.43,1012.72,75.69,453.2
27.11,69.75,1009.74,85.67,433.28
25.61,52.36,1014.1,62.9,451.42
15.28,43.71,1024.32,81.24,463.44
21.6,43.43,1010.28,61.87,446.4
22.93,51.19,1009.3,82.8,443.57
22.28,60.27,1018.98,84.12,443.44
8.6,42.28,1008.58,80.15,484.21
9.51,43.79,1016.02,79.81,481.12
10.74,43.67,1011.75,80.1,477.32
25.23,64.63,1020.59,52.2,447.28
15.85,49.69,1015.48,88.65,464.72
13.64,44.88,1019.85,56.86,466.66
8.97,44.03,1013.16,80.39,474.61
9.29,39.96,1026.2,97.55,473.51
22.63,70.47,1008,82.27,441.92
21.29,59.04,1012.49,84.23,445.37
12.19,40.23,1017.76,81.44,474.92
18.58,63.78,1016.24,78.74,453.96
12.15,38.78,1013.34,95.05,474.15
17.88,45.87,1008.39,93.63,455.83
24.97,63.86,1018.64,52.01,441.61
27.35,77.95,1012.14,74.14,431.72
16.77,50.9,1013.24,84.4,459.91
10.35,44.2,1018.46,88.6,478.36
22.49,62.96,1020.21,78.99,447.48
4,39.9,1009.64,97.16,490.79
27.41,59.21,1013.3,50.93,438.39
8.99,36.66,1028.11,71.98,481.03
14.66,41.76,1022.12,78.13,463.6
13.56,40.8,1024.8,63.6,475.89
15.62,35.4,1016.19,53.95,467.95
25.42,69.71,1009.29,82.5,435.59
17.99,50.16,1009.98,100.09,451.38
14.07,40.78,1024.67,72.66,456.71
30.05,66.44,1008.46,76.82,427.55
21.69,44.57,1005.84,71.53,447.88
24.2,59.07,1009.25,88.25,441.93
25.14,49.02,1007.56,79.02,438.53
16.07,65.46,1013.88,87.11,450.54
29.45,64.96,1005.52,59.92,433.04
16.6,53.16,1014.5,76.75,457.26
28.62,79.74,1008.12,65.39,436.12
15.52,43.7,1015.8,76.27,466.38
25.48,60.29,1017.55,51.22,443.77
16,43.34,1013.58,78.87,461.7
18.41,44.9,1008.97,73.81,453.12
14.78,42.86,1015.32,84.75,471.17
11.54,45,1022.77,80.79,482.34
23.28,60.84,1017.91,67.5,444.13
26.11,73.17,1009.8,65.18,434.94
11.9,39.16,1016.53,84.59,477.75
30.19,66.54,1004.39,61.43,428.37
23.57,64.15,1020.95,68.19,450.08
30.65,71.06,1008.61,76.76,432.08
8.36,40.22,1011.6,89.18,484.66
10.78,41.93,1015.56,95.71,478.88
12.6,41.5,1013.07,86.22,472.45
7,38.5,1014.09,81.32,489.52
19.31,60.07,1014.86,69.37,453.47
26.49,67.69,1004.61,78.13,430.62
20.54,69.05,1001.6,79.62,442.86
6.04,41.14,1027.8,86.4,480.39
30.01,73.18,1012.23,60.9,429.84
24.37,63.47,1012.77,75.22,445.6
16.21,50.9,1012.46,84.45,462.68
23.88,67.9,1005.99,67.58,446.34
29.9,64.79,1016.9,48.24,441.41
22.69,64.45,1012.82,45.03,450.65
16.62,52.05,1011.96,67.81,457.89
24.63,65.38,1010.43,40.68,446.23
11.35,38.91,1017.93,83.45,474.22
34.76,68.94,1006.75,41.31,427.42
24.67,63.56,1013.75,67.56,446.3
18.1,48.06,1015.47,82.47,454.04
18.58,49.25,1019.92,60.24,452.94
6.05,41.14,1027.69,86.93,481.02
28.61,68.12,1012.23,46.45,435.28
21.83,63.87,1018.93,63.07,452.21
3,39.64,1011,80.14,485.2
8.48,38.5,1013.5,66.51,485.29
28.88,73.68,1015.25,47.73,432.93
20.74,59.8,1015.46,76.39,452.99
31.9,73.42,1010.82,60.58,432.27
12.35,44.2,1017.81,82.49,471.65
4.97,42.85,1014.02,88.78,482.98
13.95,38.73,1003.87,83.94,468.21
20.25,58.33,1013.25,68.92,448.93
27.51,71.32,1007.59,80.02,433.16
28.82,64.79,1016.74,56.34,445.1
28.71,71.64,1005.21,71.11,432.05
30.24,69.88,1007.9,61.46,436.37
15.21,43.56,1012.92,56.61,467
21.18,70.02,1010.27,96.46,442.51
9.2,39.99,1011.73,85.95,484.04
24.07,73.46,1006.61,73.46,438.41
26.04,52.84,1005.68,65.18,439.36
28.15,70.72,1009.76,73.38,436.19
12.42,43.8,1023.13,79.8,466.59
22.69,49.21,1012.64,46.83,449.01
9.6,42.03,1017.66,92.27,474.65
11.3,25.36,1008.66,96.18,471.19
25.77,59.39,1014.76,69.99,438.64
22.17,60.27,1018.21,89.55,443.31
6.25,40.07,1020.19,65.24,494.39
29.35,68.51,1007.63,70.67,430.22
13.78,41.16,1021.65,75.77,460.44
10.11,42.49,1010.22,82.11,483.56
31.92,75.33,1001.81,61.97,436.38
17.07,44.9,1020.74,70.18,460.19
26.02,68.67,1006.73,75.19,440.12
13.27,40.27,1006.1,40.04,473.88
23.9,61.41,1011.95,67.87,451.99
13.89,45.08,1024.64,82.29,467.74
8.23,43.79,1016.11,82.11,484.67
9.38,43.7,1015.45,90.47,481.52
14.36,41.26,1021.16,73.43,462.25
23.48,49.16,1002.7,70.22,445.72
30.75,71.22,1006.47,48.06,437.96
13.31,42.18,1016,83.94,466.56
13.67,40.71,1016.19,66.15,467.62
32.42,75.08,1004.82,41.62,436.26
31.18,77.95,1014.89,65.62,431.58
13.86,50.59,1019.2,97.22,467.23
24.18,66.48,1003.3,70.99,433.37
25.03,60.84,1017.69,59.23,441.58
25.13,68.63,1013.57,43.44,446.36
31.65,66.25,1008.57,59.05,437.35
24.79,75.6,1017.07,68.23,440.05
22.61,44.05,1005.69,76.74,443.45
13.42,40.78,1025.03,77.51,459.04
25.23,61.86,1013,76.18,441.48
16.38,47.45,1010.08,88.86,450.69
7.61,39.42,1024.93,74.77,475.55
20.34,69.45,1012.76,91.05,442.73
26.71,68.3,1015.07,62.7,436.66
23.73,61.02,1009.71,78.7,442.22
5.46,40.81,1025.73,93.52,474.87
17.2,40.55,1000.68,72.67,462.55
4.59,39.33,1010.85,71.78,494.9
27.44,65.59,1010.76,68.67,441.08
10.18,35.76,1019.71,66.7,473.31
13.98,40.24,1017.19,87.45,467.2
21.24,44.3,1014.34,83.39,444
24.86,60.77,1016.85,71.24,440.68
27.25,69.98,1008.55,59.55,431.44
6.72,38.91,1016.89,90.47,485.89
7.67,35.77,1017.55,60.97,480.06
27.21,66.49,1013.57,40.11,439.04
18.9,58.46,1016.74,87.65,449.32
28.18,66.56,1005.69,65.67,426.79
27.19,64.96,1006.71,73.99,428.79
11.91,41.49,1019.69,96.39,470.07
12.34,40.1,1015.77,92.26,470.92
20.61,62.91,1013.24,79.54,446.53
10.67,45,1022.99,85.91,481.83
15.61,38.52,1018.4,80.99,439.21
25.44,70.17,1000.65,91.89,433.02
28.94,68.67,1005.39,75.24,434.65
28.44,77.54,1011.73,77.3,433.21
20.09,61.27,1020.05,70.71,451.43
5.5,39.04,1021.46,78.91,478.65
23.79,59.44,1012.53,79.48,448.67
10.27,38.38,1022.16,70.77,475.58
7,38.08,1020.27,77.67,482.38
11.54,45.51,1017.19,83.02,474.73
16.73,54.3,1017.96,59.44,460.54
11.73,37.92,1008.02,72.68,472.51
7.64,42.28,1008.49,83.42,483.74
30.67,77.95,1015.28,61.67,435.96
16.18,41.66,1010.01,65.62,465.82
24.85,67.9,1005.9,64.55,445.18
15.07,40.69,1015.29,70.98,469.03
16.5,49.39,1018.35,93.42,462.48
9.17,40.67,1019.03,66.21,487.33
27.18,62.66,1009.89,52.83,442.16
11.28,40.55,1006.23,97.78,475.14
6.02,43.65,1013.85,83.53,481.92
9.43,41.4,1028.42,84.92,479.28
27.2,65.18,1011.47,47.14,436.99
11.67,41.93,1019.81,82.58,476.1
22.21,69.71,1009.69,96.85,440.14
18.55,41.85,1015.24,62.47,467.51
30.65,71.98,1004.92,63.39,429.85
17.29,52.72,1024.71,62.32,467.23
30.34,68.08,1010.85,49.4,428.34
16.77,45.01,1013.47,81.42,458.22
20.71,58.79,1017.48,86.67,444.39
8.49,39.61,1021.05,87.74,483.94
16.43,48.06,1010.73,61.26,459.63
29.78,69.71,1008.96,67.46,434.33
18.94,48.7,1008.5,94.83,451.38
13.93,40.24,1017.88,88.35,469.25
25.89,59.22,1013.4,80.17,445.75
9.08,36.71,1025.07,81.32,479.02
25.2,61.08,1013.04,74.28,447.09
19.87,49.69,1012.23,68.57,456.03
27.55,63.13,1012.92,71.29,440.75
10.71,41.93,1018.23,90.88,478.76
25.95,59.92,1010.05,76.05,443.93
26.15,64.27,1013.03,59.77,439.11
9.77,34.69,1027.72,74.98,477.51
24.46,68.61,1011.02,76.66,440.58
22.77,59.92,1009.67,94.09,437.9
12.64,40.71,1024.2,65.21,476.37
